DATE,IPN32412A9NQ
1980-01-01,83.4009
1980-04-01,78.1110
1980-07-01,78.3927
1980-10-01,79.6761
1981-01-01,72.9436
1981-04-01,80.8777
1981-07-01,81.1798
1981-10-01,74.5462
1982-01-01,63.0532
1982-04-01,73.7639
1982-07-01,83.5788
1982-10-01,75.5394
1983-01-01,69.2761
1983-04-01,80.1492
1983-07-01,86.9920
1983-10-01,82.5398
1984-01-01,77.6146
1984-04-01,88.1510
1984-07-01,92.9483
1984-10-01,85.6836
1985-01-01,76.9865
1985-04-01,88.0512
1985-07-01,92.6320
1985-10-01,88.5758
1986-01-01,81.0591
1986-04-01,92.5659
1986-07-01,94.8998
1986-10-01,86.8775
1987-01-01,81.1764
1987-04-01,91.8483
1987-07-01,94.6402
1987-10-01,90.7616
1988-01-01,81.1185
1988-04-01,92.6357
1988-07-01,95.8880
1988-10-01,88.3043
1989-01-01,76.0956
1989-04-01,87.6042
1989-07-01,93.0126
1989-10-01,88.3684
1990-01-01,78.0245
1990-04-01,90.0508
1990-07-01,95.3089
1990-10-01,84.5999
1991-01-01,68.9425
1991-04-01,82.9039
1991-07-01,88.0968
1991-10-01,81.1666
1992-01-01,72.2377
1992-04-01,89.2014
1992-07-01,95.4933
1992-10-01,90.3183
1993-01-01,80.0643
1993-04-01,98.2639
1993-07-01,102.9939
1993-10-01,94.1254
1994-01-01,79.3977
1994-04-01,96.1695
1994-07-01,99.9468
1994-10-01,93.5409
1995-01-01,82.3411
1995-04-01,95.3681
1995-07-01,100.8226
1995-10-01,92.7917
1996-01-01,82.6455
1996-04-01,98.2475
1996-07-01,107.2140
1996-10-01,99.4233
1997-01-01,88.1756
1997-04-01,108.8459
1997-07-01,118.5712
1997-10-01,110.2119
1998-01-01,99.6712
1998-04-01,116.3238
1998-07-01,122.3288
1998-10-01,112.1506
1999-01-01,96.9450
1999-04-01,109.5449
1999-07-01,111.5293
1999-10-01,102.6205
2000-01-01,92.8312
2000-04-01,109.9496
2000-07-01,110.2240
2000-10-01,96.6469
2001-01-01,86.3132
2001-04-01,97.1590
2001-07-01,106.6165
2001-10-01,100.9152
2002-01-01,94.8514
2002-04-01,111.4338
2002-07-01,119.2378
2002-10-01,113.9553
2003-01-01,103.7355
2003-04-01,112.5226
2003-07-01,119.1914
2003-10-01,111.9020
2004-01-01,100.0102
2004-04-01,115.2497
2004-07-01,130.2966
2004-10-01,122.9111
2005-01-01,108.0864
2005-04-01,129.9617
2005-07-01,139.7888
2005-10-01,126.6254
2006-01-01,106.6786
2006-04-01,122.4736
2006-07-01,137.9095
2006-10-01,117.7247
2007-01-01,102.5593
2007-04-01,123.1400
2007-07-01,127.1664
2007-10-01,109.5154
2008-01-01,91.6352
2008-04-01,102.4899
2008-07-01,112.4660
2008-10-01,91.7604
2009-01-01,69.5755
2009-04-01,89.4986
2009-07-01,101.8341
2009-10-01,88.4587
2010-01-01,73.2201
2010-04-01,99.0175
2010-07-01,108.6240
2010-10-01,96.7711
2011-01-01,75.5096
2011-04-01,100.1475
2011-07-01,111.1246
2011-10-01,103.6045
2012-01-01,96.3978
2012-04-01,107.9715
2012-07-01,110.9574
2012-10-01,97.7176
2013-01-01,93.4200
2013-04-01,100.0432
2013-07-01,109.7563
2013-10-01,94.0593
2014-01-01,83.0772
2014-04-01,97.3096
2014-07-01,107.2517
2014-10-01,92.4613
2015-01-01,77.4563
2015-04-01,95.6129
2015-07-01,103.4978
2015-10-01,98.7100
2016-01-01,85.6402
2016-04-01,100.5487
2016-07-01,103.3861
2016-10-01,90.8644
2017-01-01,78.5115
2017-04-01,108.5461
2017-07-01,111.8999
2017-10-01,101.0426
2018-01-01,85.6870
2018-04-01,106.3805
2018-07-01,115.6836
2018-10-01,93.3202
2019-01-01,83.8754
2019-04-01,101.2919
2019-07-01,109.6634
2019-10-01,91.1816
2020-01-01,87.6597
2020-04-01,84.1230
2020-07-01,84.5394
2020-10-01,89.0639
2021-01-01,88.6825
2021-04-01,102.9068
2021-07-01,101.1322
2021-10-01,93.6333
2022-01-01,76.1510
2022-04-01,87.5983
2022-07-01,88.7278
2022-10-01,82.5495
2023-01-01,74.3087
2023-04-01,87.6052
2023-07-01,92.9978
2023-10-01,93.5228
