DATE,B230RC0Q173SBEA
1980-01-01,226754
1980-04-01,227389
1980-07-01,228070
1980-10-01,228689
1981-01-01,229155
1981-04-01,229674
1981-07-01,230301
1981-10-01,230903
1982-01-01,231395
1982-04-01,231906
1982-07-01,232498
1982-10-01,233074
1983-01-01,233546
1983-04-01,234028
1983-07-01,234603
1983-10-01,235153
1984-01-01,235605
1984-04-01,236082
1984-07-01,236657
1984-10-01,237232
1985-01-01,237673
1985-04-01,238176
1985-07-01,238789
1985-10-01,239387
1986-01-01,239861
1986-04-01,240368
1986-07-01,240962
1986-10-01,241539
1987-01-01,242009
1987-04-01,242520
1987-07-01,243120
1987-10-01,243721
1988-01-01,244208
1988-04-01,244716
1988-07-01,245354
1988-10-01,245966
1989-01-01,246460
1989-04-01,247017
1989-07-01,247698
1989-10-01,248374
1990-01-01,248936
1990-04-01,249711
1990-07-01,250595
1990-10-01,251482
1991-01-01,252258
1991-04-01,253063
1991-07-01,253965
1991-10-01,254835
1992-01-01,255585
1992-04-01,256439
1992-07-01,257386
1992-10-01,258277
1993-01-01,259039
1993-04-01,259826
1993-07-01,260714
1993-10-01,261547
1994-01-01,262250
1994-04-01,263020
1994-07-01,263870
1994-10-01,264678
1995-01-01,265388
1995-04-01,266142
1995-07-01,267000
1995-10-01,267820
1996-01-01,268487
1996-04-01,269251
1996-07-01,270128
1996-10-01,270991
1997-01-01,271709
1997-04-01,272487
1997-07-01,273391
1997-10-01,274246
1998-01-01,274950
1998-04-01,275703
1998-07-01,276564
1998-10-01,277400
1999-01-01,278103
1999-04-01,278864
1999-07-01,279751
1999-10-01,280592
2000-01-01,281304
2000-04-01,282002
2000-07-01,282769
2000-10-01,283518
2001-01-01,284169
2001-04-01,284838
2001-07-01,285584
2001-10-01,286311
2002-01-01,286935
2002-04-01,287574
2002-07-01,288303
2002-10-01,289007
2003-01-01,289609
2003-04-01,290253
2003-07-01,290974
2003-10-01,291669
2004-01-01,292237
2004-04-01,292875
2004-07-01,293603
2004-10-01,294334
2005-01-01,294957
2005-04-01,295588
2005-07-01,296340
2005-10-01,297086
2006-01-01,297736
2006-04-01,298408
2006-07-01,299180
2006-10-01,299946
2007-01-01,300609
2007-04-01,301284
2007-07-01,302062
2007-10-01,302829
2008-01-01,303494
2008-04-01,304160
2008-07-01,304902
2008-10-01,305616
2009-01-01,306237
2009-04-01,306866
2009-07-01,307573
2009-10-01,308285
2010-01-01,308901
2010-04-01,309488.0
2010-07-01,310148.0
2010-10-01,310817.0
2011-01-01,311376.0
2011-04-01,311940.0
2011-07-01,312606.0
2011-10-01,313258.0
2012-01-01,313813.0
2012-04-01,314373.0
2012-07-01,315030.0
2012-10-01,315685.0
2013-01-01,316196.0
2013-04-01,316733.0
2013-07-01,317396.0
2013-10-01,318072.0
2014-01-01,318645.0
2014-04-01,319228.0
2014-07-01,319919.0
2014-10-01,320611.0
2015-01-01,321168.0
2015-04-01,321744.0
2015-07-01,322428.0
2015-10-01,323110.0
2016-01-01,323689.0
2016-04-01,324265.0
2016-07-01,324926.0
2016-10-01,325557.0
2017-01-01,326053.0
2017-04-01,326554.0
2017-07-01,327140.0
2017-10-01,327692.0
2018-01-01,328091.0
2018-04-01,328526.0
2018-07-01,329040.0
2018-10-01,329522.0
2019-01-01,329868.0
2019-04-01,330245.0
2019-07-01,330729.0
2019-10-01,331208.0
2020-01-01,331537.0
2020-04-01,331715.0
2020-07-01,331887.0
2020-10-01,332060.0
2021-01-01,332005.0
2021-04-01,332166.0
2021-07-01,332497.0
2021-10-01,332802.0
2022-01-01,332991.0
2022-04-01,333320.0
2022-07-01,333762.0
2022-10-01,334201.0
2023-01-01,334547.0
2023-04-01,334934.0
2023-07-01,335430.0
2023-10-01,335923.0
