DATE,BOGZ1FU096060035Q
1980-01-01,59350.0
1980-04-01,51692.0
1980-07-01,53519.0
1980-10-01,58565.0
1981-01-01,60783.0
1981-04-01,59832.0
1981-07-01,64023.0
1981-10-01,61257.0
1982-01-01,54960.0
1982-04-01,58532.0
1982-07-01,57884.0
1982-10-01,56380.0
1983-01-01,60598.0
1983-04-01,68156.0
1983-07-01,72361.0
1983-10-01,76788.0
1984-01-01,83935.0
1984-04-01,84419.0
1984-07-01,83282.0
1984-10-01,85631.0
1985-01-01,86739.0
1985-04-01,87569.0
1985-07-01,91819.0
1985-10-01,86951.0
1986-01-01,84631.0
1986-04-01,81207.0
1986-07-01,78740.0
1986-10-01,78987.0
1987-01-01,82427.0
1987-04-01,92042.0
1987-07-01,97982.0
1987-10-01,98362.0
1988-01-01,99195.0
1988-04-01,102509.0
1988-07-01,104109.0
1988-10-01,110429.0
1989-01-01,106803.0
1989-04-01,105091.0
1989-07-01,105389.0
1989-10-01,101436.0
1990-01-01,104450.0
1990-04-01,109144.0
1990-07-01,102178.0
1990-10-01,103558.0
1991-01-01,112794.0
1991-04-01,111953.0
1991-07-01,111585.0
1991-10-01,112410.0
1992-01-01,119853.0
1992-04-01,120860.0
1992-07-01,117650.0
1992-10-01,122927.0
1993-01-01,122329.0
1993-04-01,129410.0
1993-07-01,133109.0
1993-10-01,145870.0
1994-01-01,148153.0
1994-04-01,154123.0
1994-07-01,162802.0
1994-10-01,169015.0
1995-01-01,169426.0
1995-04-01,175630.0
1995-07-01,184238.0
1995-10-01,187385.0
1996-01-01,196126.0
1996-04-01,199535.0
1996-07-01,201170.0
1996-10-01,206741.0
1997-01-01,214163.0
1997-04-01,220222.0
1997-07-01,229400.0
1997-10-01,226081.0
1998-01-01,209315.0
1998-04-01,208900.0
1998-07-01,211286.0
1998-10-01,205667.0
1999-01-01,219119.0
1999-04-01,217733.0
1999-07-01,214055.0
1999-10-01,215852.0
2000-01-01,211492.0
2000-04-01,209412.0
2000-07-01,205520.0
2000-10-01,199987.0
2001-01-01,195511.0
2001-04-01,202017.0
2001-07-01,193301.0
2001-10-01,196361.0
2002-01-01,217522.0
2002-04-01,225380.0
2002-07-01,233491.0
2002-10-01,253973.0
2003-01-01,251804.0
2003-04-01,261012.0
2003-07-01,274404.0
2003-10-01,289849.0
2004-01-01,317148.0
2004-04-01,325307.0
2004-07-01,341029.0
2004-10-01,337061.0
2005-01-01,370040.0
2005-04-01,374254.0
2005-07-01,381455.0
2005-10-01,404296.0
2006-01-01,418956.0
2006-04-01,422807.0
2006-07-01,434842.0
2006-10-01,419500.0
2007-01-01,396847.0
2007-04-01,413807.0
2007-07-01,397433.0
2007-10-01,387717.0
2008-01-01,363558.0
2008-04-01,357018.0
2008-07-01,357813.0
2008-10-01,267232.0
2009-01-01,324378.0
2009-04-01,330474.0
2009-07-01,373137.0
2009-10-01,397663.0
2010-01-01,421159.0
2010-04-01,421309.0
2010-07-01,462579.0
2010-10-01,469429.0
2011-01-01,430038.0
2011-04-01,460710.0
2011-07-01,468063.0
2011-10-01,503617.0
2012-01-01,519646.0
2012-04-01,515913.0
2012-07-01,511756.0
2012-10-01,510418.0
2013-01-01,515045.0
2013-04-01,515122.0
2013-07-01,521190.0
2013-10-01,529784.0
2014-01-01,514055.0
2014-04-01,556702.0
2014-07-01,571634.0
2014-10-01,570443.0
2015-01-01,560093.0
2015-04-01,554755.0
2015-07-01,542918.0
2015-10-01,515364.0
2016-01-01,538011.0
2016-04-01,527888.0
2016-07-01,535322.0
2016-10-01,543091.0
2017-01-01,547557.0
2017-04-01,547006.0
2017-07-01,559168.0
2017-10-01,571509.0
2018-01-01,577710.0
2018-04-01,593232.0
2018-07-01,592850.0
2018-10-01,601376.0
2019-01-01,602928.0
2019-04-01,611450.0
2019-07-01,626513.0
2019-10-01,629418.0
2020-01-01,565612.0
2020-04-01,515283.0
2020-07-01,681456.0
2020-10-01,620937.0
2021-01-01,688210.0
2021-04-01,747136.0
2021-07-01,739752.0
2021-10-01,747659.0
2022-01-01,756770.0
2022-04-01,815001.0
2022-07-01,824824.0
2022-10-01,812096.0
2023-01-01,791280.0
2023-04-01,793015.0
2023-07-01,820186.0
2023-10-01,818132.0
